Ticker          Short Name
KMI UN Equity   KINDER MORGAN IN
KMX UN Equity   CARMAX INC
KO UN Equity    COCA-COLA CO/THE
KORS UN Equity  MICHAEL KORS HOL
KR UN Equity    KROGER CO
KRFT UW Equity  KRAFT FOODS GROU
KSS UN Equity   KOHLS CORP
KSU UN Equity   KANSAS CITY SOUT
L UN Equity     LOEWS CORP
LB UN Equity    L BRANDS INC
LEG UN Equity   LEGGETT & PLATT
LEN UN Equity   LENNAR CORP-A
LH UN Equity    LABORATORY CP
LLL UN Equity   L-3 COMM HLDGS
LLTC UW Equity  LINEAR TECH CORP
LLY UN Equity   ELI LILLY & CO
LM UN Equity    LEGG MASON INC
LMT UN Equity   LOCKHEED MARTIN
LNC UN Equity   LINCOLN NATL CRP
LO UN Equity    LORILLARD INC
LOW UN Equity   LOWE'S COS INC
LRCX UW Equity  LAM RESEARCH
LUK UN Equity   LEUCADIA NATL
LUV UN Equity   SOUTHWEST AIR
LVLT UN Equity  LEVEL 3 COMM INC
LYB UN Equity   LYONDELLBASELL-A
M UN Equity     MACY'S INC
MA UN Equity    MASTERCARD INC-A
MAC UN Equity   MACERICH CO
MAR UW Equity   MARRIOTT INTL-A
MAS UN Equity   MASCO CORP
MAT UW Equity   MATTEL INC
MCD UN Equity   MCDONALDS CORP
MCHP UW Equity  MICROCHIP TECH
MCK UN Equity   MCKESSON CORP
MCO UN Equity   MOODY'S CORP
MDLZ UW Equity  MONDELEZ INTER-A
MDT UN Equity   MEDTRONIC PLC
MET UN Equity   METLIFE INC
MHFI UN Equity  MCGRAW HILL FINA
MHK UN Equity   MOHAWK INDS
MJN UN Equity   MEAD JOHNSON
MKC UN Equity   MCCORMICK-N/V
MLM UN Equity   MARTIN MAR MTLS
MMC UN Equity   MARSH & MCLENNAN
MMM UN Equity   3M CO
MNK UN Equity   MALLINCKRODT
MNST UW Equity  MONSTER BEVERAGE
MO UN Equity    ALTRIA GROUP INC
MON UN Equity   MONSANTO CO
MOS UN Equity   MOSAIC CO/THE
MPC UN Equity   MARATHON PETROLE
MRK UN Equity   MERCK & CO
MRO UN Equity   MARATHON OIL
MS UN Equity    MORGAN STANLEY
MSFT UW Equity  MICROSOFT CORP
MSI UN Equity   MOTOROLA SOLUTIO
MTB UN Equity   M&T BANK CORP
MU UW Equity    MICRON TECH
MUR UN Equity   MURPHY OIL CORP
MWV UN Equity   MEADWESTVACO COR
MYL UW Equity   MYLAN NV
NAVI UW Equity  NAVIENT CORP
NBL UN Equity   NOBLE ENERGY INC
NDAQ UW Equity  NASDAQ OMX GROUP
NE UN Equity    NOBLE CORP PLC
NEE UN Equity   NEXTERA ENERGY
NEM UN Equity   NEWMONT MINING
NFLX UW Equity  NETFLIX INC
NFX UN Equity   NEWFIELD EXPLORA
NI UN Equity    NISOURCE INC
NKE UN Equity   NIKE INC -CL B
NLSN UN Equity  NIELSEN NV
NOC UN Equity   NORTHROP GRUMMAN
NOV UN Equity   NATL OILWELL VAR
NRG UN Equity   NRG ENERGY
NSC UN Equity   NORFOLK SOUTHERN
NTAP UW Equity  NETAPP INC
NTRS UW Equity  NORTHERN TRUST
NUE UN Equity   NUCOR CORP
NVDA UW Equity  NVIDIA CORP
NWL UN Equity   NEWELL RUBBERMAI
NWSA UW Equity  NEWS CORP-CL A
O UN Equity     REALTY INCOME
OI UN Equity    OWENS-ILLINOIS
OKE UN Equity   ONEOK INC
OMC UN Equity   OMNICOM GROUP
ORCL UN Equity  ORACLE CORP
